date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:03	698003/698003	---MCZ	200	added ('OK')	image/svg+xml	etag:%2240a8066d14058433288f7450fda0eabf-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-brands-400.svg	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:04	400840/400840	---MCZ	200	added ('OK')	application/octet-stream	etag:%222aaf996f7526254dea1ecc8ea08d26d1-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.eot	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.eot	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:05	400840/400840	---M-Z	200	added ('OK')	application/octet-stream	etag:%222aaf996f7526254dea1ecc8ea08d26d1-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.eot?	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300d41d.eot	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:05	156896/156896	---M--	200	added ('OK')	font/woff2	etag:%226bb2d9956ce0f06e5a0845a638ba1c56-ssl%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.woff2	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.woff2	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:06	207100/207100	---MCZ	200	added ('OK')	application/font-woff	etag:%229b597719900ee78e33e6625a65dcf444-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.woff	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.woff	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:07	400560/400560	---M--	200	added ('OK')	font/ttf	etag:%2295c08cf5570e8a68a397f81a974e71c9-ssl%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.ttf	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.ttf	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:08	1935397/1935397	---MCZ	200	added ('OK')	image/svg+xml	etag:%22ce7c60d2a943f251415cb243623489bc-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.svg	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-light-300.svg	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:09	369628/369628	---MCZ	200	added ('OK')	application/octet-stream	etag:%229b3568f7057c6bf5510b7819265f2b10-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.eot	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:09	145152/145152	---M--	200	added ('OK')	font/woff2	etag:%228f61a8e812df304bfc805b2c161f5dc7-ssl%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.woff2	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:10	369628/369628	---MCZ	200	added ('OK')	application/octet-stream	etag:%229b3568f7057c6bf5510b7819265f2b10-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400d41d.eot	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
